X,Y,TYPE,SPEED,DIRTYPE,DIRECTION
-135.055856,60.718169,1,0,0,0
-130.328821,54.311599,1,0,0,0
-128.652155,54.048879,5,0,0,0
-128.651278,54.049316,1,0,0,0
-128.599118,54.516158,1,0,0,0
-125.248223,50.012265,5,0,0,0
-125.247310,50.012235,1,0,0,0
-125.009016,49.632976,1,0,0,0
-124.988042,49.696503,1,0,0,0
-124.803334,49.251196,5,40,0,0
-124.803125,49.251128,1,0,0,0
-124.520712,49.841724,1,30,0,0
-124.489739,49.363257,5,40,0,0
-124.489663,49.363399,1,0,0,0
-124.337756,49.327588,1,40,0,0
-124.337757,49.327716,1,0,0,0
-124.313545,49.320926,1,40,0,0
-124.285778,49.299203,5,40,0,0
-124.285690,49.299252,1,0,0,0
-124.259407,49.304256,1,0,0,0
-124.052564,49.234558,1,0,0,0
-124.049251,49.238701,1,0,0,0
-124.001607,49.204340,1,50,0,0
-123.986066,49.179645,1,40,0,0
-123.985929,49.179830,1,0,0,0
-123.972552,49.177477,1,40,0,0
-123.953575,49.221010,1,0,0,0
-123.933431,49.147616,5,40,0,0
-123.933177,49.147679,1,0,0,0
-123.919884,49.128296,1,40,0,0
-123.919467,49.127783,1,50,0,0
-123.901805,49.110178,1,40,0,0
-123.901463,49.110184,1,0,0,0
-123.888129,49.096854,1,0,0,0
-123.778295,48.953018,1,40,0,0
-123.632089,48.720633,5,40,0,0
-123.538383,48.609869,1,40,0,0
-123.532917,48.455043,1,0,0,0
-123.509403,49.404105,5,60,0,0
-123.509432,49.404404,1,0,0,0
-123.459461,48.585137,5,40,0,0
-123.459175,48.585267,1,0,0,0
-123.404490,48.459544,1,50,0,0
-123.394879,48.431997,1,0,0,0
-123.389232,48.537246,5,50,0,0
-123.389041,48.537286,1,0,0,0
-123.385277,48.498872,1,50,0,0
-123.384729,48.498800,1,0,0,0
-123.384301,48.514328,1,50,0,0
-123.384222,48.514163,1,0,0,0
-123.364693,48.469817,3,0,0,0
-123.364384,48.469980,1,50,0,0
-123.363324,48.438846,3,0,0,0
-123.360516,48.443755,1,0,0,0
-123.360347,48.444100,1,0,0,0
-123.358607,48.437418,1,0,0,0
-123.353543,48.425942,3,0,0,0
-123.353226,48.425887,1,50,0,0
-123.345140,48.434617,1,0,0,0
-123.344793,48.434521,1,0,0,0
-123.333245,48.445923,3,0,0,0
-123.332970,48.445722,1,50,0,0
-123.332953,48.476052,3,0,0,0
-123.332624,48.476105,1,50,0,0
-123.238041,49.257840,5,60,0,0
-123.237151,49.450565,5,30,0,0
-123.236603,49.458836,5,30,0,0
-123.198266,49.225077,5,60,0,0
-123.198014,49.225232,1,0,0,0
-123.185754,49.268633,1,60,0,0
-123.175391,49.125423,1,0,0,0
-123.173869,49.264288,5,60,0,0
-123.173824,49.264491,1,0,0,0
-123.147051,49.689752,1,0,0,0
-123.146863,49.689604,5,0,0,0
-123.140413,49.172181,1,0,0,0
-123.140123,49.220072,1,0,0,0
-123.140041,49.162722,1,0,0,0
-123.139991,49.221774,1,60,0,0
-123.139837,49.226881,1,60,0,0
-123.139535,49.232488,1,60,0,0
-123.139139,49.244903,5,60,0,0
-123.139050,49.248402,1,60,0,0
-123.139136,49.246709,1,0,0,0
-123.138945,49.249478,1,60,0,0
-123.138736,49.257150,1,60,0,0
-123.136690,49.133582,1,0,0,0
-123.136472,49.290923,1,30,0,0
-123.135194,49.271251,5,30,0,0
-123.135035,49.271179,1,50,0,0
-123.134893,49.327180,1,30,0,0
-123.133237,49.742683,5,0,0,0
-123.132978,49.742679,1,0,0,0
-123.132269,49.277089,1,30,0,0
-123.132077,49.282363,5,30,0,0
-123.128312,49.226697,1,60,0,0
-123.126491,49.140899,5,0,0,0
-123.126508,49.140900,1,0,0,0
-123.122493,49.324237,1,30,0,0
-123.122312,49.324499,1,30,0,0
-123.122324,49.281008,1,30,0,0
-123.122237,49.274907,1,30,0,0
-123.121891,49.282770,1,0,0,0
-123.121780,49.280310,1,30,0,0
-123.117105,49.210248,1,60,0,0
-123.116187,49.234205,5,60,0,0
-123.116175,49.233664,1,60,0,0
-123.116025,49.234379,1,0,0,0
-123.114382,49.266647,1,30,0,0
-123.114147,49.133537,3,0,0,0
-123.106314,49.283688,1,30,0,0
-123.102033,49.279260,1,0,0,0
-123.101257,49.245251,1,0,0,0
