X	Y	TYPE	SPEED	DIRTYPE	DIRECTION		
-60.866882	45.65725	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-60.866882 45.65725)',4326),'speedcamerapoi.com'),"
-61.128312	45.958745	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-61.128312 45.958745)',4326),'speedcamerapoi.com'),"
-61.970886	45.613499	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-61.970886 45.613499)',4326),'speedcamerapoi.com'),"
-61.984059	45.624557	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-61.984059 45.624557)',4326),'speedcamerapoi.com'),"
-61.994175	45.614448	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-61.994175 45.614448)',4326),'speedcamerapoi.com'),"
-62.129135	45.566955	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-62.129135 45.566955)',4326),'speedcamerapoi.com'),"
-63.324622	45.390223	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-63.324622 45.390223)',4326),'speedcamerapoi.com'),"
-63.412885	45.105424	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-63.412885 45.105424)',4326),'speedcamerapoi.com'),"
-63.441757	44.683553	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-63.441757 44.683553)',4326),'speedcamerapoi.com'),"
-63.453543	44.682729	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-63.453543 44.682729)',4326),'speedcamerapoi.com'),"
-63.523998	44.685595	1	50	0	0		"(3,1,1,geography::STPointFromText('POINT(-63.523998 44.685595)',4326),'speedcamerapoi.com'),"
-63.532022	44.877825	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-63.532022 44.877825)',4326),'speedcamerapoi.com'),"
-63.535606	44.910846	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-63.535606 44.910846)',4326),'speedcamerapoi.com'),"
-63.557354	44.677802	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-63.557354 44.677802)',4326),'speedcamerapoi.com'),"
-63.560612	44.743538	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-63.560612 44.743538)',4326),'speedcamerapoi.com'),"
-63.623683	44.643825	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-63.623683 44.643825)',4326),'speedcamerapoi.com'),"
-63.645856	44.728085	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-63.645856 44.728085)',4326),'speedcamerapoi.com'),"
-63.691724	44.782525	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-63.691724 44.782525)',4326),'speedcamerapoi.com'),"
-63.691938	44.783875	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-63.691938 44.783875)',4326),'speedcamerapoi.com'),"
-63.705994	44.704686	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-63.705994 44.704686)',4326),'speedcamerapoi.com'),"
-64.021016	45.696671	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-64.021016 45.696671)',4326),'speedcamerapoi.com'),"
-65.997707	45.283568	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-65.997707 45.283568)',4326),'speedcamerapoi.com'),"
-66.123824	45.232224	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-66.123824 45.232224)',4326),'speedcamerapoi.com'),"
-66.389105	50.21197	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-66.389105 50.21197)',4326),'speedcamerapoi.com'),"
-69.018182	48.215326	1	70	0	0		"(3,1,1,geography::STPointFromText('POINT(-69.018182 48.215326)',4326),'speedcamerapoi.com'),"
-69.656859	47.702087	1	100	0	0		"(3,1,1,geography::STPointFromText('POINT(-69.656859 47.702087)',4326),'speedcamerapoi.com'),"
-70.556941	46.968215	1	100	0	0		"(3,1,1,geography::STPointFromText('POINT(-70.556941 46.968215)',4326),'speedcamerapoi.com'),"
-71.00213	46.44056	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-71.00213 46.44056)',4326),'speedcamerapoi.com'),"
-71.018488	46.819151	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-71.018488 46.819151)',4326),'speedcamerapoi.com'),"
-71.172263	48.433348	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-71.172263 48.433348)',4326),'speedcamerapoi.com'),"
